threshold,seed,converged,episodes,restarts
0.0,0,False,2000,0
1.0,0,False,2000,0
2.0,0,False,2000,0
2.5,0,False,2000,1
2.8,0,False,2000,1
3.0,0,False,2000,1
3.2,0,False,2000,19
3.5,0,False,2000,19
3.8,0,False,2000,19
4.0,0,False,2000,19
4.5,0,False,2000,19
5.0,0,False,2000,19
6.0,0,False,2000,19
0.0,1,False,2000,0
1.0,1,False,2000,0
2.0,1,False,2000,0
2.5,1,False,2000,1
2.8,1,True,897,3
3.0,1,True,897,3
3.2,1,False,2000,19
3.5,1,False,2000,19
3.8,1,False,2000,19
4.0,1,False,2000,19
4.5,1,False,2000,19
5.0,1,False,2000,19
6.0,1,False,2000,19
0.0,2,False,2000,0
1.0,2,False,2000,0
2.0,2,False,2000,0
2.5,2,False,2000,1
2.8,2,False,2000,1
3.0,2,False,2000,10
3.2,2,False,2000,19
3.5,2,False,2000,19
3.8,2,False,2000,19
4.0,2,False,2000,19
4.5,2,False,2000,19
5.0,2,False,2000,19
6.0,2,False,2000,19
0.0,3,False,2000,0
1.0,3,False,2000,0
2.0,3,False,2000,0
2.5,3,False,2000,2
2.8,3,False,2000,1
3.0,3,False,2000,4
3.2,3,False,2000,19
3.5,3,False,2000,19
3.8,3,False,2000,19
4.0,3,False,2000,19
4.5,3,False,2000,19
5.0,3,False,2000,19
6.0,3,False,2000,19
0.0,4,False,2000,0
1.0,4,False,2000,0
2.0,4,False,2000,0
2.5,4,False,2000,1
2.8,4,False,2000,1
3.0,4,False,2000,6
3.2,4,False,2000,19
3.5,4,False,2000,19
3.8,4,False,2000,19
4.0,4,False,2000,19
4.5,4,False,2000,19
5.0,4,False,2000,19
6.0,4,False,2000,19
0.0,5,False,2000,0
1.0,5,False,2000,0
2.0,5,False,2000,0
2.5,5,True,971,2
2.8,5,False,2000,1
3.0,5,False,2000,3
3.2,5,False,2000,19
3.5,5,False,2000,19
3.8,5,False,2000,19
4.0,5,False,2000,19
4.5,5,False,2000,19
5.0,5,False,2000,19
6.0,5,False,2000,19
0.0,6,False,2000,0
1.0,6,False,2000,0
2.0,6,False,2000,0
2.5,6,False,2000,1
2.8,6,False,2000,1
3.0,6,False,2000,1
3.2,6,False,2000,19
3.5,6,False,2000,19
3.8,6,False,2000,19
4.0,6,False,2000,19
4.5,6,False,2000,19
5.0,6,False,2000,19
6.0,6,False,2000,19
0.0,7,False,2000,0
1.0,7,False,2000,0
2.0,7,False,2000,0
2.5,7,False,2000,1
2.8,7,False,2000,1
3.0,7,False,2000,3
3.2,7,False,2000,19
3.5,7,False,2000,19
3.8,7,False,2000,19
4.0,7,False,2000,19
4.5,7,False,2000,19
5.0,7,False,2000,19
6.0,7,False,2000,19
0.0,8,False,2000,0
1.0,8,False,2000,0
2.0,8,False,2000,0
2.5,8,False,2000,2
2.8,8,True,627,1
3.0,8,False,2000,2
3.2,8,False,2000,19
3.5,8,False,2000,19
3.8,8,False,2000,19
4.0,8,False,2000,19
4.5,8,False,2000,19
5.0,8,False,2000,19
6.0,8,False,2000,19
0.0,9,False,2000,0
1.0,9,False,2000,0
2.0,9,False,2000,0
2.5,9,False,2000,1
2.8,9,False,2000,2
3.0,9,False,2000,2
3.2,9,False,2000,19
3.5,9,False,2000,19
3.8,9,False,2000,19
4.0,9,False,2000,19
4.5,9,False,2000,19
5.0,9,False,2000,19
6.0,9,False,2000,19
0.0,10,False,2000,0
1.0,10,False,2000,0
2.0,10,False,2000,0
2.5,10,False,2000,1
2.8,10,False,2000,1
3.0,10,False,2000,1
3.2,10,True,1024,4
3.5,10,True,1147,6
3.8,10,False,2000,19
4.0,10,False,2000,19
4.5,10,False,2000,19
5.0,10,False,2000,19
6.0,10,False,2000,19
0.0,11,False,2000,0
1.0,11,False,2000,0
2.0,11,False,2000,0
2.5,11,False,2000,1
2.8,11,False,2000,2
3.0,11,False,2000,2
3.2,11,False,2000,19
3.5,11,False,2000,19
3.8,11,False,2000,19
4.0,11,False,2000,19
4.5,11,False,2000,19
5.0,11,False,2000,19
6.0,11,False,2000,19
0.0,12,False,2000,0
1.0,12,False,2000,0
2.0,12,False,2000,0
2.5,12,False,2000,1
2.8,12,False,2000,5
3.0,12,False,2000,13
3.2,12,False,2000,19
