game,algorithm,seed,threshold,converged,episodes,restarts
IPD,REINFORCE,0,2.5,False,1000,0
IPD,REINFORCE,1,2.5,False,1000,0
IPD,REINFORCE,2,2.5,False,1000,0
IPD,REINFORCE,3,2.5,False,1000,0
IPD,REINFORCE,4,2.5,False,1000,0
IPD,REINFORCE,5,2.5,False,1000,0
IPD,REINFORCE,6,2.5,False,1000,0
IPD,REINFORCE,7,2.5,False,1000,0
IPD,REINFORCE,8,2.5,False,1000,0
IPD,REINFORCE,9,2.5,False,1000,0
IPD,REINFORCE,10,2.5,False,1000,0
IPD,REINFORCE,11,2.5,False,1000,0
IPD,REINFORCE,12,2.5,False,1000,0
IPD,REINFORCE,13,2.5,False,1000,0
IPD,REINFORCE,14,2.5,False,1000,0
IPD,REINFORCE,15,2.5,False,1000,0
IPD,REINFORCE,16,2.5,False,1000,0
IPD,REINFORCE,17,2.5,False,1000,0
IPD,REINFORCE,18,2.5,False,1000,0
IPD,REINFORCE,19,2.5,False,1000,0
IPD,REINFORCE,20,2.5,False,1000,0
IPD,REINFORCE,21,2.5,False,1000,0
IPD,REINFORCE,22,2.5,False,1000,0
IPD,REINFORCE,23,2.5,False,1000,0
IPD,REINFORCE,24,2.5,False,1000,0
IPD,REINFORCE,25,2.5,False,1000,0
IPD,REINFORCE,26,2.5,False,1000,0
IPD,REINFORCE,27,2.5,False,1000,0
IPD,REINFORCE,28,2.5,False,1000,0
IPD,REINFORCE,29,2.5,False,1000,0
IPD,REINFORCE,30,2.5,False,1000,0
IPD,REINFORCE,31,2.5,False,1000,0
IPD,REINFORCE,32,2.5,False,1000,0
IPD,REINFORCE,33,2.5,False,1000,0
IPD,REINFORCE,34,2.5,False,1000,0
IPD,REINFORCE,35,2.5,False,1000,0
IPD,REINFORCE,36,2.5,False,1000,0
IPD,REINFORCE,37,2.5,False,1000,0
IPD,REINFORCE,38,2.5,False,1000,0
IPD,REINFORCE,39,2.5,False,1000,0
IPD,REINFORCE,40,2.5,False,1000,0
IPD,REINFORCE,41,2.5,False,1000,0
IPD,REINFORCE,42,2.5,False,1000,0
IPD,REINFORCE,43,2.5,False,1000,0
IPD,REINFORCE,44,2.5,False,1000,0
IPD,REINFORCE,45,2.5,False,1000,0
IPD,REINFORCE,46,2.5,False,1000,0
IPD,REINFORCE,47,2.5,False,1000,0
IPD,REINFORCE,48,2.5,False,1000,0
IPD,REINFORCE,49,2.5,False,1000,0
IPD,REINFORCE,50,2.5,False,1000,0
IPD,REINFORCE,51,2.5,False,1000,0
IPD,REINFORCE,52,2.5,False,1000,0
IPD,REINFORCE,53,2.5,False,1000,0
IPD,REINFORCE,54,2.5,False,1000,0
IPD,REINFORCE,55,2.5,False,1000,0
IPD,REINFORCE,56,2.5,False,1000,0
IPD,REINFORCE,57,2.5,False,1000,0
IPD,REINFORCE,58,2.5,False,1000,0
IPD,REINFORCE,59,2.5,False,1000,0
IPD,REINFORCE,60,2.5,False,1000,0
IPD,REINFORCE,61,2.5,False,1000,0
IPD,REINFORCE,62,2.5,False,1000,0
IPD,REINFORCE,63,2.5,False,1000,0
IPD,REINFORCE,64,2.5,False,1000,0
IPD,REINFORCE,65,2.5,False,1000,0
IPD,REINFORCE,66,2.5,False,1000,0
IPD,REINFORCE,67,2.5,False,1000,0
IPD,REINFORCE,68,2.5,False,1000,0
IPD,REINFORCE,69,2.5,False,1000,0
IPD,REINFORCE,70,2.5,False,1000,0
IPD,REINFORCE,71,2.5,False,1000,0
IPD,REINFORCE,72,2.5,False,1000,0
IPD,REINFORCE,73,2.5,False,1000,0
IPD,REINFORCE,74,2.5,False,1000,0
IPD,REINFORCE,75,2.5,False,1000,0
IPD,REINFORCE,76,2.5,False,1000,0
IPD,REINFORCE,77,2.5,False,1000,0
IPD,REINFORCE,78,2.5,False,1000,0
IPD,REINFORCE,79,2.5,False,1000,0
IPD,REINFORCE,80,2.5,False,1000,0
IPD,REINFORCE,81,2.5,False,1000,0
IPD,REINFORCE,82,2.5,False,1000,0
IPD,REINFORCE,83,2.5,False,1000,0
IPD,REINFORCE,84,2.5,False,1000,0
IPD,REINFORCE,85,2.5,False,1000,0
IPD,REINFORCE,86,2.5,False,1000,0
IPD,REINFORCE,87,2.5,False,1000,0
IPD,REINFORCE,88,2.5,False,1000,0
IPD,REINFORCE,89,2.5,False,1000,0
IPD,REINFORCE,90,2.5,False,1000,0
IPD,REINFORCE,91,2.5,False,1000,0
IPD,REINFORCE,92,2.5,False,1000,0
IPD,REINFORCE,93,2.5,False,1000,0
IPD,REINFORCE,94,2.5,False,1000,0
IPD,REINFORCE,95,2.5,False,1000,0
IPD,REINFORCE,96,2.5,False,1000,0
IPD,REINFORCE,97,2.5,False,1000,0
IPD,REINFORCE,98,2.5,False,1000,0
IPD,REINFORCE,99,2.5,False,1000,0
IPD,Meta-MAPG,0,2.5,False,1000,0
IPD,Meta-MAPG,1,2.5,False,1000,0
IPD,Meta-MAPG,2,2.5,False,1000,0
IPD,Meta-MAPG,3,2.5,False,1000,0
IPD,Meta-MAPG,4,2.5,False,1000,0
IPD,Meta-MAPG,5,2.5,False,1000,0
IPD,Meta-MAPG,6,2.5,False,1000,0
IPD,Meta-MAPG,7,2.5,False,1000,0
IPD,Meta-MAPG,8,2.5,False,1000,0
IPD,Meta-MAPG,9,2.5,False,1000,0
IPD,Meta-MAPG,10,2.5,False,1000,0
IPD,Meta-MAPG,11,2.5,False,1000,0
IPD,Meta-MAPG,12,2.5,False,1000,0
IPD,Meta-MAPG,13,2.5,False,1000,0
IPD,Meta-MAPG,14,2.5,False,1000,0
IPD,Meta-MAPG,15,2.5,False,1000,0
IPD,Meta-MAPG,16,2.5,False,1000,0
IPD,Meta-MAPG,17,2.5,False,1000,0
IPD,Meta-MAPG,18,2.5,False,1000,0
IPD,Meta-MAPG,19,2.5,False,1000,0
IPD,Meta-MAPG,20,2.5,False,1000,0
IPD,Meta-MAPG,21,2.5,False,1000,0
IPD,Meta-MAPG,22,2.5,False,1000,0
IPD,Meta-MAPG,23,2.5,False,1000,0
IPD,Meta-MAPG,24,2.5,False,1000,0
IPD,Meta-MAPG,25,2.5,False,1000,0
IPD,Meta-MAPG,26,2.5,False,1000,0
IPD,Meta-MAPG,27,2.5,False,1000,0
IPD,Meta-MAPG,28,2.5,False,1000,0
IPD,Meta-MAPG,29,2.5,False,1000,0
IPD,Meta-MAPG,30,2.5,False,1000,0
IPD,Meta-MAPG,31,2.5,False,1000,0
IPD,Meta-MAPG,32,2.5,False,1000,0
IPD,Meta-MAPG,33,2.5,False,1000,0
IPD,Meta-MAPG,34,2.5,False,1000,0
IPD,Meta-MAPG,35,2.5,False,1000,0
IPD,Meta-MAPG,36,2.5,False,1000,0
IPD,Meta-MAPG,37,2.5,False,1000,0
IPD,Meta-MAPG,38,2.5,False,1000,0
IPD,Meta-MAPG,39,2.5,False,1000,0
IPD,Meta-MAPG,40,2.5,False,1000,0
IPD,Meta-MAPG,41,2.5,False,1000,0
IPD,Meta-MAPG,42,2.5,False,1000,0
IPD,Meta-MAPG,43,2.5,False,1000,0
IPD,Meta-MAPG,44,2.5,False,1000,0
IPD,Meta-MAPG,45,2.5,False,1000,0
IPD,Meta-MAPG,46,2.5,False,1000,0
IPD,Meta-MAPG,47,2.5,False,1000,0
IPD,Meta-MAPG,48,2.5,False,1000,0
IPD,Meta-MAPG,49,2.5,False,1000,0
IPD,Meta-MAPG,50,2.5,False,1000,0
IPD,Meta-MAPG,51,2.5,False,1000,0
IPD,Meta-MAPG,52,2.5,False,1000,0
IPD,Meta-MAPG,53,2.5,False,1000,0
IPD,Meta-MAPG,54,2.5,False,1000,0
IPD,Meta-MAPG,55,2.5,False,1000,0
IPD,Meta-MAPG,56,2.5,False,1000,0
IPD,Meta-MAPG,57,2.5,False,1000,0
IPD,Meta-MAPG,58,2.5,False,1000,0
IPD,Meta-MAPG,59,2.5,False,1000,0
IPD,Meta-MAPG,60,2.5,False,1000,0
IPD,Meta-MAPG,61,2.5,False,1000,0
IPD,Meta-MAPG,62,2.5,False,1000,0
IPD,Meta-MAPG,63,2.5,False,1000,0
IPD,Meta-MAPG,64,2.5,False,1000,0
IPD,Meta-MAPG,65,2.5,False,1000,0
IPD,Meta-MAPG,66,2.5,False,1000,0
IPD,Meta-MAPG,67,2.5,False,1000,0
IPD,Meta-MAPG,68,2.5,False,1000,0
IPD,Meta-MAPG,69,2.5,False,1000,0
IPD,Meta-MAPG,70,2.5,False,1000,0
IPD,Meta-MAPG,71,2.5,False,1000,0
IPD,Meta-MAPG,72,2.5,False,1000,0
IPD,Meta-MAPG,73,2.5,False,1000,0
IPD,Meta-MAPG,74,2.5,False,1000,0
IPD,Meta-MAPG,75,2.5,False,1000,0
IPD,Meta-MAPG,76,2.5,False,1000,0
IPD,Meta-MAPG,77,2.5,False,1000,0
IPD,Meta-MAPG,78,2.5,False,1000,0
IPD,Meta-MAPG,79,2.5,False,1000,0
IPD,Meta-MAPG,80,2.5,False,1000,0
IPD,Meta-MAPG,81,2.5,False,1000,0
IPD,Meta-MAPG,82,2.5,False,1000,0
IPD,Meta-MAPG,83,2.5,False,1000,0
IPD,Meta-MAPG,84,2.5,False,1000,0
IPD,Meta-MAPG,85,2.5,False,1000,0
IPD,Meta-MAPG,86,2.5,False,1000,0
IPD,Meta-MAPG,87,2.5,False,1000,0
IPD,Meta-MAPG,88,2.5,False,1000,0
IPD,Meta-MAPG,89,2.5,False,1000,0
IPD,Meta-MAPG,90,2.5,False,1000,0
IPD,Meta-MAPG,91,2.5,False,1000,0
IPD,Meta-MAPG,92,2.5,False,1000,0
IPD,Meta-MAPG,93,2.5,False,1000,0
IPD,Meta-MAPG,94,2.5,False,1000,0
IPD,Meta-MAPG,95,2.5,False,1000,0
IPD,Meta-MAPG,96,2.5,False,1000,0
IPD,Meta-MAPG,97,2.5,False,1000,0
IPD,Meta-MAPG,98,2.5,False,1000,0
IPD,Meta-MAPG,99,2.5,False,1000,0
IPD,Meta-MAPG+Restarts,0,2.5,False,1000,9
IPD,Meta-MAPG+Restarts,1,2.5,True,255,5
IPD,Meta-MAPG+Restarts,2,2.5,True,318,5
IPD,Meta-MAPG+Restarts,3,2.5,False,1000,16
IPD,Meta-MAPG+Restarts,4,2.5,False,1000,16
IPD,Meta-MAPG+Restarts,5,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,6,2.5,True,228,3
IPD,Meta-MAPG+Restarts,7,2.5,True,306,6
IPD,Meta-MAPG+Restarts,8,2.5,True,268,5
IPD,Meta-MAPG+Restarts,9,2.5,False,1000,8
IPD,Meta-MAPG+Restarts,10,2.5,False,1000,13
IPD,Meta-MAPG+Restarts,11,2.5,False,1000,5
IPD,Meta-MAPG+Restarts,12,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,13,2.5,False,1000,10
IPD,Meta-MAPG+Restarts,14,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,15,2.5,False,1000,15
IPD,Meta-MAPG+Restarts,16,2.5,False,1000,10
IPD,Meta-MAPG+Restarts,17,2.5,True,102,2
IPD,Meta-MAPG+Restarts,18,2.5,True,323,4
IPD,Meta-MAPG+Restarts,19,2.5,False,1000,12
IPD,Meta-MAPG+Restarts,20,2.5,True,305,4
IPD,Meta-MAPG+Restarts,21,2.5,False,1000,13
IPD,Meta-MAPG+Restarts,22,2.5,True,293,5
IPD,Meta-MAPG+Restarts,23,2.5,False,1000,11
IPD,Meta-MAPG+Restarts,24,2.5,False,1000,3
IPD,Meta-MAPG+Restarts,25,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,26,2.5,False,1000,14
IPD,Meta-MAPG+Restarts,27,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,28,2.5,False,1000,4
IPD,Meta-MAPG+Restarts,29,2.5,True,357,6
IPD,Meta-MAPG+Restarts,30,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,31,2.5,False,1000,5
IPD,Meta-MAPG+Restarts,32,2.5,False,1000,2
IPD,Meta-MAPG+Restarts,33,2.5,False,1000,8
IPD,Meta-MAPG+Restarts,34,2.5,True,618,5
IPD,Meta-MAPG+Restarts,35,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,36,2.5,False,1000,12
IPD,Meta-MAPG+Restarts,37,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,38,2.5,False,1000,4
IPD,Meta-MAPG+Restarts,39,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,40,2.5,True,396,5
IPD,Meta-MAPG+Restarts,41,2.5,False,1000,8
IPD,Meta-MAPG+Restarts,42,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,43,2.5,False,1000,3
IPD,Meta-MAPG+Restarts,44,2.5,True,204,4
IPD,Meta-MAPG+Restarts,45,2.5,False,1000,9
IPD,Meta-MAPG+Restarts,46,2.5,False,1000,1
IPD,Meta-MAPG+Restarts,47,2.5,False,1000,15
IPD,Meta-MAPG+Restarts,48,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,49,2.5,True,999,8
IPD,Meta-MAPG+Restarts,50,2.5,True,51,1
IPD,Meta-MAPG+Restarts,51,2.5,False,1000,9
IPD,Meta-MAPG+Restarts,52,2.5,False,1000,13
IPD,Meta-MAPG+Restarts,53,2.5,True,490,7
IPD,Meta-MAPG+Restarts,54,2.5,True,215,4
IPD,Meta-MAPG+Restarts,55,2.5,False,1000,5
IPD,Meta-MAPG+Restarts,56,2.5,False,1000,7
IPD,Meta-MAPG+Restarts,57,2.5,False,1000,13
IPD,Meta-MAPG+Restarts,58,2.5,False,1000,14
IPD,Meta-MAPG+Restarts,59,2.5,False,1000,6
IPD,Meta-MAPG+Restarts,60,2.5,True,414,5
